longitude,latitude,elevation,prec_annual_mm,tmax_mean_c,NDVI,Red,Green,Blue,eco_values,Temperatur,Moisture,Landcover,Landforms,Climate_Re,W_Ecosystm
-4.5,41.5,596.4,134.5658,14.3659,0.534689,35,149,58,145,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,Cool Temperate Moist Forest on Hills
-4.5,41.6,670.86,130.1577,13.891,0.714949,59,134,26,130,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,Cool Temperate Moist Cropland on Tablelands
-4.5,41.7,722.32,130.1322,13.3499,0.654809,72,151,71,165,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,Cool Temperate Moist Cropland on Tablelands
-4.5,41.8,286.05,132.5069,16.1088,0.527194,68,180,82,137,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.5,41.9,1087.3,76.0341,11.3659,0.697974,32,115,83,156,Cool Temperate,Moist,Grassland,Mountains,Cool Temperate Moist,Cool Temperate Moist Grassland on Mountains
-4.5,42.0,507.53,144.9074,14.9362,0.482786,65,128,63,138,Cool Temperate,Moist,Grassland,Hills,Cool Temperate Moist,Cool Temperate Moist Grassland on Hills
-4.5,42.1,1072.26,111.2962,10.3749,0.664347,36,141,71,143,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,Cool Temperate Moist Forest on Mountains
-4.5,42.2,933.46,118.5886,11.5034,0.468706,17,140,56,141,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,Cool Temperate Moist Cropland on Mountains
-4.5,42.3,735.17,142.4671,12.896,0.647048,61,159,150,141,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,Cool Temperate Moist Cropland on Hills
-4.5,42.4,662.47,114.827,13.5471,0.403524,49,166,46,153,Cool Temperate,Moist,Shrubland,Hills,Cool Temperate Moist,Cool Temperate Moist Shrubland on Hills
-4.5,42.5,560.43,107.8325,14.462,0.562759,52,135,79,181,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,Cool Temperate Moist Settlement on Hills
-4.5,42.6,759.87,115.2942,12.412,0.547254,39,99,48,149,Cool Temperate,Moist,Grassland,Tablelands,Cool Temperate Moist,Cool Temperate Moist Grassland on Tablelands
-4.5,42.7,1168.35,102.5872,11.0192,0.437029,59,161,80,186,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,Cool Temperate Moist Forest on Mountains
-4.5,42.8,714.91,128.8493,13.0356,0.533384,68,140,67,115,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,Cool Temperate Moist Cropland on Tablelands
-4.5,42.9,287.27,157.4313,15.0605,0.476677,89,92,55,155,Warm Temperate,Moist,Shrubland,Plains,Warm Temperate Moist,Warm Temperate Moist Shrubland on Plains
-4.5,43.0,807.13,111.1281,12.7228,0.577185,85,142,33,141,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,Cool Temperate Moist Cropland on Mountains
-4.5,43.1,1068.78,151.6041,10.4506,0.579244,71,143,102,152,Cool Temperate,Moist,Shrubland,Mountains,Cool Temperate Moist,Cool Temperate Moist Shrubland on Mountains
-4.5,43.2,766.08,107.2237,11.8716,0.570735,116,164,49,166,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,Cool Temperate Moist Settlement on Hills
-4.5,43.3,96.82,137.8587,16.3926,0.422991,130,140,81,130,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.5,43.4,630.76,147.944,12.9324,0.649447,88,129,47,129,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,Cool Temperate Moist Cropland on Hills
-4.5,43.5,154.35,137.1383,15.0402,0.66968,86,169,87,157,Warm Temperate,Moist,Forest,Hills,Warm Temperate Moist,Warm Temperate Moist Forest on Hills
-4.5,43.6,144.2,123.4689,15.0642,0.730808,73,87,49,130,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.5,43.7,4.31,113.4792,17.474,0.478412,79,129,39,138,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.5,43.8,133.89,137.0864,16.4199,0.587116,42,114,66,160,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.5,43.9,51.92,118.0402,16.4401,0.464719,48,121,80,144,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,Warm Temperate Moist Settlement on Plains
-4.5,44.0,31.5,144.3859,16.1724,0.676632,13,158,68,148,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.5,44.1,249.82,136.8071,14.4049,0.586911,73,209,102,122,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,Cool Temperate Moist Forest on Hills
-4.5,44.2,112.25,122.9399,15.9589,0.39193,123,136,111,151,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.5,44.3,75.52,137.7198,15.2097,0.484813,118,108,76,163,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.5,44.4,41.82,121.7731,15.0987,0.479823,15,144,71,142,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.5,44.5,58.62,125.4327,15.1164,0.604986,97,137,28,161,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.5,44.6,73.69,153.3609,15.0899,0.37592,25,123,52,144,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.5,44.7,105.18,165.6034,14.9326,0.418898,107,147,49,123,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,44.8,73.43,111.8909,13.8998,0.642715,119,197,110,108,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,44.9,59.88,128.2647,14.8448,0.442551,128,117,94,122,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,45.0,100.37,125.8774,15.2519,0.572691,60,143,85,140,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.5,45.1,64.92,119.6126,15.4543,0.607757,126,161,47,169,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,Warm Temperate Moist Settlement on Plains
-4.5,45.2,123.86,135.653,14.2236,0.527865,98,136,84,146,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,45.3,4.6,133.5986,14.6698,0.424845,94,138,78,142,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,45.4,49.11,146.1592,14.5572,0.482735,70,91,53,133,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,45.5,178.2,112.3857,13.3753,0.426244,125,185,27,148,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,Cool Temperate Moist Forest on Hills
-4.5,45.6,25.16,137.6751,13.968,0.715738,43,174,79,173,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,45.7,48.37,125.8611,14.3456,0.673808,41,118,38,154,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,45.8,0,153.704,14.4977,0.501097,66,119,47,126,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,45.9,91.71,124.0936,13.1717,0.474274,82,146,65,172,Cool Temperate,Moist,Shrubland,Plains,Cool Temperate Moist,Cool Temperate Moist Shrubland on Plains
-4.5,46.0,105.69,122.1803,13.9944,0.492556,68,106,66,179,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,46.1,143.0,148.1539,12.8423,0.412687,90,193,55,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,46.2,50.59,103.5258,14.9076,0.608292,35,64,14,122,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,46.3,0,101.7481,13.6418,0.543213,18,121,63,127,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,46.4,51.28,125.0453,12.8154,0.75504,57,142,28,161,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,46.5,42.84,121.6442,14.1778,0.533652,85,185,62,142,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,46.6,17.3,156.0574,14.3054,0.636558,40,172,69,148,Cool Temperate,Moist,Shrubland,Plains,Cool Temperate Moist,Cool Temperate Moist Shrubland on Plains
-4.5,46.7,0,141.825,13.5794,0.514418,31,180,80,128,Cool Temperate,Moist,Shrubland,Plains,Cool Temperate Moist,Cool Temperate Moist Shrubland on Plains
-4.5,46.8,0,131.9433,13.5657,0.633022,73,142,45,175,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,46.9,31.43,166.5668,12.5459,0.386687,16,126,34,133,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
