"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","occurrence_id","tmax_mean_c","prec_annual_mm","tas_cur_november_c","tas_fut_november_c","delta_tas_november_c","lc_value_2020","lc_value_2024","urban_2020","urban_2024","prop_forest_2020","prop_forest_2024","delta_forest"
96,"Rhinolophus ferrumequinum",42.58263,2.33091,2021-01-26,"gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",927,1,15.1192307692308,77.4615384615385,6.85000000000002,7.95000000000005,1.10000000000002,10,10,0,0,0.142857142857143,0.357142857142857,0.214285714285714
96,"Rhinolophus ferrumequinum",42.58263,2.33091,2022-01-20,"gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",927,2,15.1192307692308,77.4615384615385,6.85000000000002,7.95000000000005,1.10000000000002,10,10,0,0,0.142857142857143,0.357142857142857,0.214285714285714
96,"Barbastella barbastellus",44.347362,3.842634,2024-06-02,"gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1211,3,12.1576923076923,88.8461538461538,3.85000000000002,5.05000000000001,1.19999999999999,8,8,0,0,0.6,0.6,0
97,"Barbastella barbastellus",46.144677,5.898177,2025-07-19,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",645,4,13.9961538461539,111.923076923077,4.75000000000006,6.05000000000001,1.29999999999995,4,4,0,0,1,0.857142857142857,-0.142857142857143
97,"Barbastella barbastellus",44.318069,3.803589,2024-06-16,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1233,5,12.0807692307692,86,3.85000000000002,5.05000000000001,1.19999999999999,5,5,0,0,1,1,0
97,"Rhinolophus ferrumequinum",49.86139,4.73726,2022-02-01,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",150,6,14.6653846153847,85.6923076923077,5.75000000000006,6.75000000000006,1,5,5,0,0,0.928571428571429,0.928571428571429,0
97,"Rhinolophus ferrumequinum",45.28288,2.42603,2022-02-04,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",546,7,14.6884615384616,101.230769230769,5.95000000000005,7.05000000000001,1.09999999999997,8,8,0,0,1,1,0
97,"Barbastella barbastellus",46.1806332396,6.6564648502,2012-09-15,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1180,8,10.4192307692308,154.692307692308,0.350000000000023,1.75000000000006,1.40000000000003,5,5,0,0,1,1,0
97,"Rhinolophus ferrumequinum",42.67253,2.32987,2021-01-26,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",860,9,14.2653846153847,91.0769230769231,6.25000000000006,7.35000000000002,1.09999999999997,4,4,0,0,1,1,0
97,"Rhinolophus ferrumequinum",44.83328,2.55715,2023-02-03,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",658,10,14.35,89,5.85000000000002,6.95000000000005,1.10000000000002,4,4,0,0,1,1,0
97,"Rhinolophus ferrumequinum",45.28216,2.29848,2022-01-01,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",563,11,14.9038461538462,95.4615384615385,6.25000000000006,7.25000000000006,1,5,5,0,0,1,1,0
97,"Rhinolophus ferrumequinum",43.00499,0.48753,2022-02-06,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",827,12,14.6807692307693,111.615384615385,6.45000000000005,7.55000000000001,1.09999999999997,4,4,0,0,1,1,0
97,"Rhinolophus ferrumequinum",42.98531,-0.24709,2022-06-16,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1407,13,11.473076923077,147.769230769231,3.65000000000003,4.75000000000006,1.10000000000002,8,8,0,0,1,1,0
97,"Barbastella barbastellus",45.1703297499,5.5062731776,2026-01-24,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1219,14,11.6961538461539,109.307692307692,2.85000000000002,4.25000000000006,1.40000000000003,5,5,0,0,1,1,0
97,"Rhinolophus ferrumequinum",46.3655512702,5.4504631446,2025-10-18,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",498,15,15.7269230769231,101.384615384615,6.25000000000006,7.45000000000005,1.19999999999999,8,8,0,0,1,1,0
97,"Rhinolophus ferrumequinum",44.4780947333,5.1060107289,2025-10-12,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",731,16,14.9807692307693,76.6153846153846,6.05000000000001,7.35000000000002,1.30000000000001,8,8,0,0,1,1,0
97,"Rhinolophus ferrumequinum",44.83328,2.55715,2023-02-03,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",658,17,14.35,89,5.85000000000002,6.95000000000005,1.10000000000002,4,4,0,0,1,1,0
97,"Barbastella barbastellus",46.1446774554,5.8981767606,2025-07-19,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",645,18,13.9961538461539,111.923076923077,4.75000000000006,6.05000000000001,1.29999999999995,4,4,0,0,1,0.857142857142857,-0.142857142857143
