"species","latitude","longitude","date_obs","source"
"Barbastella barbastellus",48.745356,3.468055,2026-01-08,"gbif"
"Barbastella barbastellus",43.975926,3.663813,2026-01-09,"gbif"
"Barbastella barbastellus",43.795746,6.361965,2026-01-11,"gbif"
"Barbastella barbastellus",45.17033,5.506273,2026-01-24,"gbif"
"Barbastella barbastellus",43.716616,6.351551,2026-01-11,"gbif"
"Barbastella barbastellus",48.650634,3.501766,2026-01-08,"gbif"
"Barbastella barbastellus",45.581632,4.745191,2026-01-12,"gbif"
"Barbastella barbastellus",44.272179,3.375694,2026-01-31,"gbif"
"Barbastella barbastellus",44.491044,4.328075,2026-01-20,"gbif"
"Barbastella barbastellus",47.273402,6.161452,2026-02-01,"gbif"
"Barbastella barbastellus",43.833408,2.222873,2026-02-15,"gbif"
"Barbastella barbastellus",45.219897,1.20672,2026-04-17,"gbif"
"Barbastella barbastellus",44.134325,4.54438,2026-04-18,"gbif"
"Barbastella barbastellus",46.64,6.02,2026-04-25,"gbif"
"Barbastella barbastellus",46.743017,0.704171,2025-01-18,"gbif"
"Barbastella barbastellus",48.743577,5.148699,2025-01-17,"gbif"
"Barbastella barbastellus",46.67746,0.599281,2025-01-18,"gbif"
"Barbastella barbastellus",46.711649,0.218454,2025-01-18,"gbif"
"Barbastella barbastellus",46.82598,0.352908,2025-01-19,"gbif"
"Barbastella barbastellus",46.622043,0.566815,2025-01-19,"gbif"
"Barbastella barbastellus",47.35151,4.749339,2025-02-07,"gbif"
"Barbastella barbastellus",43.787441,3.113491,2025-02-15,"gbif"
"Barbastella barbastellus",47.815735,-2.717022,2025-04-23,"gbif"
"Barbastella barbastellus",45.829985,1.280717,2025-04-13,"gbif"
"Barbastella barbastellus",45.836686,1.31904,2025-04-06,"gbif"
"Barbastella barbastellus",49.106035,5.244584,2025-05-26,"gbif"
"Barbastella barbastellus",49.189226,-1.298286,2025-06-10,"gbif"
"Barbastella barbastellus",47.564683,4.551556,2025-06-01,"gbif"
"Barbastella barbastellus",46.49931,4.448307,2025-07-06,"gbif"
"Barbastella barbastellus",46.144677,5.898177,2025-07-19,"gbif"
"Barbastella barbastellus",47.322013,0.131325,2025-07-02,"gbif"
"Barbastella barbastellus",44.0526,4.1364,2025-07-27,"gbif"
"Barbastella barbastellus",44.2417,4.1111,2025-07-28,"gbif"
"Barbastella barbastellus",44.0515,4.1345,2025-07-24,"gbif"
"Barbastella barbastellus",44.0526,4.1364,2025-07-27,"gbif"
"Barbastella barbastellus",41.518453,8.983165,2025-07-26,"gbif"
"Barbastella barbastellus",42.150425,8.739211,2025-07-29,"gbif"
"Barbastella barbastellus",47.911254,4.56765,2025-07-31,"gbif"
"Barbastella barbastellus",46.052102,-0.99693,2025-08-01,"gbif"
"Barbastella barbastellus",47.600416,1.749568,2025-08-07,"gbif"
"Barbastella barbastellus",44.767929,5.618107,2025-08-23,"gbif"
"Barbastella barbastellus",47.462904,4.505441,2025-08-27,"gbif"
"Barbastella barbastellus",47.454038,4.525124,2025-08-27,"gbif"
"Barbastella barbastellus",47.495084,-1.561358,2025-08-23,"gbif"
"Barbastella barbastellus",43.037526,0.061688,2025-08-30,"gbif"
"Barbastella barbastellus",49.13729,6.285929,2025-09-21,"gbif"
"Barbastella barbastellus",47.599368,4.443522,2025-09-07,"gbif"
"Barbastella barbastellus",47.562337,4.42034,2025-09-06,"gbif"
"Barbastella barbastellus",47.464345,4.630765,2025-09-06,"gbif"
"Barbastella barbastellus",45.11544,4.667742,2025-09-12,"gbif"
"Barbastella barbastellus",43.537753,-0.119628,2025-09-03,"gbif"
"Barbastella barbastellus",45.745909,5.184259,2025-09-25,"gbif"
"Barbastella barbastellus",48.648047,-2.865735,2025-10-22,"gbif"
"Barbastella barbastellus",44.321347,0.941455,2025-11-01,"gbif"
"Barbastella barbastellus",45.382563,5.87478,2025-11-10,"gbif"
"Barbastella barbastellus",45.747187,5.799273,2025-12-23,"gbif"
"Barbastella barbastellus",45.610549,6.057138,2025-12-27,"gbif"
"Barbastella barbastellus",45.910953,5.473824,2024-01-21,"gbif"
"Barbastella barbastellus",46.920177,0.225419,2024-01-21,"gbif"
"Barbastella barbastellus",48.389364,-0.030153,2024-01-25,"gbif"
"Barbastella barbastellus",43.721775,3.063343,2024-02-10,"gbif"
"Barbastella barbastellus",43.675969,3.0845,2024-02-10,"gbif"
"Barbastella barbastellus",47.096919,-1.20573,2024-04-30,"gbif"
"Barbastella barbastellus",43.915529,3.990059,2024-05-04,"gbif"
"Barbastella barbastellus",44.163731,1.119044,2024-05-30,"gbif"
"Barbastella barbastellus",44.163605,0,2024-05-30,"gbif"
"Barbastella barbastellus",44.351308,3.893404,2024-05-18,"gbif"
"Barbastella barbastellus",43.745629,1.066338,2024-06-10,"gbif"
"Barbastella barbastellus",44.318069,3.803589,2024-06-16,"gbif"
"Barbastella barbastellus",48.859454,-0.117132,2024-06-28,"gbif"
"Barbastella barbastellus",48.912927,-0.116836,2024-06-28,"gbif"
"Barbastella barbastellus",44.263444,3.844646,2024-06-23,"gbif"
"Barbastella barbastellus",44.347362,3.842634,2024-06-02,"gbif"
"Barbastella barbastellus",48.752347,-1.263768,2024-07-10,"gbif"
"Barbastella barbastellus",44.126356,5.705006,2024-07-30,"gbif"
"Barbastella barbastellus",45.635063,3.573291,2024-08-17,"gbif"
"Barbastella barbastellus",48.188186,-1.352561,2024-08-24,"gbif"
"Barbastella barbastellus",43.429229,-0.084331,2024-08-28,"gbif"
"Barbastella barbastellus",43.871015,5.741194,2024-08-20,"gbif"
"Barbastella barbastellus",43.899761,3.861315,2024-09-11,"gbif"
"Barbastella barbastellus",48.283045,-0.182233,2024-09-28,"gbif"
"Barbastella barbastellus",46.315594,3.40245,2024-09-29,"gbif"
"Barbastella barbastellus",48.64185,-0.144208,2024-10-04,"gbif"
"Barbastella barbastellus",43.771445,1.174063,2024-10-14,"gbif"
"Barbastella barbastellus",47.376143,3.7927,2024-10-28,"gbif"
"Barbastella barbastellus",47.133301,1.68583,2024-10-29,"gbif"
"Barbastella barbastellus",43.750796,3.127062,2024-11-16,"gbif"
"Barbastella barbastellus",43.691893,3.068507,2024-11-16,"gbif"
"Barbastella barbastellus",43.677275,3.136024,2024-11-16,"gbif"
"Barbastella barbastellus",48.876819,5.539613,2024-11-17,"gbif"
"Barbastella barbastellus",48.21793,-1.535257,2024-11-25,"gbif"
"Barbastella barbastellus",45.262526,5.280779,2024-12-25,"gbif"
"Barbastella barbastellus",48.024083,-2.979648,2024-12-03,"gbif"
"Barbastella barbastellus",48.783084,3.523721,2023-01-27,"gbif"
"Barbastella barbastellus",49.29495,-0.09331,2023-01-24,"gbif"
"Barbastella barbastellus",44.89673,0.52951,2023-01-31,"gbif"
"Barbastella barbastellus",44.0811,0.31507,2023-01-26,"gbif"
"Barbastella barbastellus",45.16947,0.64479,2023-01-23,"gbif"
"Barbastella barbastellus",44.35097,0.30228,2023-01-12,"gbif"
"Barbastella barbastellus",45.34948,0.63718,2023-01-12,"gbif"
"Barbastella barbastellus",45.26456,0.89589,2023-01-30,"gbif"
"Barbastella barbastellus",44.99902,1.15975,2023-01-16,"gbif"
"Barbastella barbastellus",43.07517,-0.25214,2023-02-08,"gbif"
"Barbastella barbastellus",43.25642,-0.76095,2023-02-09,"gbif"
"Barbastella barbastellus",47.3,6.2,2023-02-04,"gbif"
"Barbastella barbastellus",44.63683,1.04545,2023-02-03,"gbif"
"Barbastella barbastellus",44.17106,0.31082,2023-02-24,"gbif"
"Barbastella barbastellus",44.05208,-0.68272,2023-03-07,"gbif"
"Barbastella barbastellus",44.99902,1.15975,2023-03-02,"gbif"
"Barbastella barbastellus",47.23689,2.07871,2023-04-24,"gbif"
"Barbastella barbastellus",44.39841,-1.08239,2023-05-16,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-05-16,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-05-16,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-05-16,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-05-16,"gbif"
"Barbastella barbastellus",44.24388,-0.31916,2023-05-26,"gbif"
"Barbastella barbastellus",44.24388,-0.31916,2023-05-26,"gbif"
"Barbastella barbastellus",48.11292,-1.708258,2023-05-13,"gbif"
"Barbastella barbastellus",48.111635,-1.705441,2023-05-13,"gbif"
"Barbastella barbastellus",44.20385,2.81231,2023-06-24,"gbif"
"Barbastella barbastellus",43.70094,-1.05966,2023-06-08,"gbif"
"Barbastella barbastellus",43.70094,-1.05966,2023-06-08,"gbif"
"Barbastella barbastellus",43.70094,-1.05966,2023-06-08,"gbif"
"Barbastella barbastellus",44.0811,0.31507,2023-06-26,"gbif"
"Barbastella barbastellus",47.23689,2.07871,2023-06-05,"gbif"
"Barbastella barbastellus",48.43511,2.79721,2023-06-07,"gbif"
"Barbastella barbastellus",48.34206,2.12277,2023-06-23,"gbif"
"Barbastella barbastellus",48.34206,2.12277,2023-06-24,"gbif"
"Barbastella barbastellus",48.25517,2.7979,2023-06-13,"gbif"
"Barbastella barbastellus",48.97477,3.2049,2023-06-05,"gbif"
"Barbastella barbastellus",46.69796,6.29458,2023-06-24,"gbif"
"Barbastella barbastellus",44.74325,2.55786,2023-07-19,"gbif"
"Barbastella barbastellus",47.4781,-0.65269,2023-07-11,"gbif"
"Barbastella barbastellus",47.4781,-0.65269,2023-07-11,"gbif"
"Barbastella barbastellus",48.16519,2.79824,2023-07-18,"gbif"
"Barbastella barbastellus",48.34514,2.79755,2023-07-19,"gbif"
"Barbastella barbastellus",48.78948,1.843,2023-07-11,"gbif"
"Barbastella barbastellus",45.088829,3.410521,2023-08-18,"gbif"
"Barbastella barbastellus",44.551971,4.24769,2023-08-30,"gbif"
"Barbastella barbastellus",48.414976,-2.06182,2023-08-13,"gbif"
"Barbastella barbastellus",46.882324,1.00409,2023-08-09,"gbif"
"Barbastella barbastellus",44.86958,-0.4829,2023-08-23,"gbif"
"Barbastella barbastellus",47.539372,4.42241,2023-08-09,"gbif"
"Barbastella barbastellus",47.06102,6.68174,2023-08-16,"gbif"
"Barbastella barbastellus",45.10382,2.68215,2023-09-05,"gbif"
"Barbastella barbastellus",45.10382,2.68215,2023-09-07,"gbif"
"Barbastella barbastellus",48.43051,-2.10661,2023-09-17,"gbif"
"Barbastella barbastellus",49.94914,1.1205,2023-09-14,"gbif"
