"species","latitude","longitude","date_obs","source"
"Rhinolophus ferrumequinum",43.387052,5.970511,2026-01-11,"gbif"
"Rhinolophus ferrumequinum",44.483968,4.239396,2026-01-21,"gbif"
"Rhinolophus ferrumequinum",46.63927,-1.063225,2026-01-18,"gbif"
"Rhinolophus ferrumequinum",43.912248,5.203994,2026-01-24,"gbif"
"Rhinolophus ferrumequinum",43.718089,6.340222,2026-01-11,"gbif"
"Rhinolophus ferrumequinum",43.731616,6.270739,2026-01-11,"gbif"
"Rhinolophus ferrumequinum",47.353955,4.678432,2026-01-24,"gbif"
"Rhinolophus ferrumequinum",44.711807,-0.384907,2026-01-31,"gbif"
"Rhinolophus ferrumequinum",47.485633,-0.169357,2026-01-31,"gbif"
"Rhinolophus ferrumequinum",44.115348,1.668704,2026-02-08,"gbif"
"Rhinolophus ferrumequinum",43.992742,2.274214,2026-02-15,"gbif"
"Rhinolophus ferrumequinum",45.670575,0.139966,2026-02-21,"gbif"
"Rhinolophus ferrumequinum",45.769819,0.049483,2026-02-17,"gbif"
"Rhinolophus ferrumequinum",44.422029,4.273745,2026-02-24,"gbif"
"Rhinolophus ferrumequinum",43.928616,3.943778,2026-02-27,"gbif"
"Rhinolophus ferrumequinum",47.809489,0.561616,2026-02-07,"gbif"
"Rhinolophus ferrumequinum",47.347024,0.457896,2026-02-05,"gbif"
"Rhinolophus ferrumequinum",43.857104,5.698306,2026-02-27,"gbif"
"Rhinolophus ferrumequinum",47.29559,-1.380691,2026-03-14,"gbif"
"Rhinolophus ferrumequinum",47.209289,-0.027893,2026-03-08,"gbif"
"Rhinolophus ferrumequinum",47.295329,-1.381022,2026-03-14,"gbif"
"Rhinolophus ferrumequinum",45.010024,3.576231,2026-03-10,"gbif"
"Rhinolophus ferrumequinum",43.838147,3.351894,2026-03-18,"gbif"
"Rhinolophus ferrumequinum",43.871162,3.885476,2026-03-15,"gbif"
"Rhinolophus ferrumequinum",44.404651,4.457071,2026-04-09,"gbif"
"Rhinolophus ferrumequinum",43.154887,2.160371,2026-04-16,"gbif"
"Rhinolophus ferrumequinum",49.554079,5.374509,2026-05-09,"gbif"
"Rhinolophus ferrumequinum",49.571627,5.355253,2026-05-09,"gbif"
"Rhinolophus ferrumequinum",49.567725,5.359472,2026-05-09,"gbif"
"Rhinolophus ferrumequinum",46.660428,0.457026,2025-01-11,"gbif"
"Rhinolophus ferrumequinum",43.275068,2.872747,2025-01-03,"gbif"
"Rhinolophus ferrumequinum",43.791006,0.392854,2025-01-10,"gbif"
"Rhinolophus ferrumequinum",46.709539,0.353493,2025-01-10,"gbif"
"Rhinolophus ferrumequinum",46.783802,0.338186,2025-01-10,"gbif"
"Rhinolophus ferrumequinum",48.625126,5.019871,2025-01-17,"gbif"
"Rhinolophus ferrumequinum",47.295528,-1.381208,2025-01-15,"gbif"
"Rhinolophus ferrumequinum",44.32201,1.178338,2025-01-12,"gbif"
"Rhinolophus ferrumequinum",48.844518,3.004478,2025-01-18,"gbif"
"Rhinolophus ferrumequinum",46.530972,0.312483,2025-01-20,"gbif"
"Rhinolophus ferrumequinum",47.066678,0.018931,2025-01-29,"gbif"
"Rhinolophus ferrumequinum",46.650187,0.4541,2025-01-25,"gbif"
"Rhinolophus ferrumequinum",49.55,3.4,2025-01-12,"gbif"
"Rhinolophus ferrumequinum",47.033067,0.0027,2025-01-30,"gbif"
"Rhinolophus ferrumequinum",49.094362,3.043653,2025-02-11,"gbif"
"Rhinolophus ferrumequinum",43.928015,5.771223,2025-02-04,"gbif"
"Rhinolophus ferrumequinum",43.460019,3.066017,2025-02-15,"gbif"
"Rhinolophus ferrumequinum",43.648806,3.043629,2025-02-22,"gbif"
"Rhinolophus ferrumequinum",47.716816,3.47219,2025-02-01,"gbif"
"Rhinolophus ferrumequinum",44.878773,1.572485,2025-02-19,"gbif"
"Rhinolophus ferrumequinum",48.619243,5.868075,2025-03-22,"gbif"
"Rhinolophus ferrumequinum",43.56193,5.448455,2025-03-22,"gbif"
"Rhinolophus ferrumequinum",48.663878,-3.828929,2025-03-16,"gbif"
"Rhinolophus ferrumequinum",48.617833,-3.882929,2025-03-16,"gbif"
"Rhinolophus ferrumequinum",44.40741,4.39543,2025-04-14,"gbif"
"Rhinolophus ferrumequinum",43.562491,3.451415,2025-04-17,"gbif"
"Rhinolophus ferrumequinum",43.355538,2.363273,2025-04-30,"gbif"
"Rhinolophus ferrumequinum",43.651848,4.565006,2025-04-20,"gbif"
"Rhinolophus ferrumequinum",42.63898,2.301816,2025-04-16,"gbif"
"Rhinolophus ferrumequinum",48.429665,-1.908145,2025-05-22,"gbif"
"Rhinolophus ferrumequinum",47.476963,4.983612,2025-05-29,"gbif"
"Rhinolophus ferrumequinum",47.484613,4.89113,2025-05-29,"gbif"
"Rhinolophus ferrumequinum",44.588801,4.523431,2025-05-17,"gbif"
"Rhinolophus ferrumequinum",46.892756,3.721682,2025-05-04,"gbif"
"Rhinolophus ferrumequinum",48.198053,-2.256039,2025-05-04,"gbif"
"Rhinolophus ferrumequinum",44.5918,4.5352,2025-05-17,"gbif"
"Rhinolophus ferrumequinum",43.530493,3.470122,2025-06-28,"gbif"
"Rhinolophus ferrumequinum",44.213427,6.441366,2025-06-27,"gbif"
"Rhinolophus ferrumequinum",49.721653,0.308808,2025-06-20,"gbif"
"Rhinolophus ferrumequinum",49.721708,0.30883,2025-06-24,"gbif"
"Rhinolophus ferrumequinum",43.780688,3.447987,2025-06-26,"gbif"
"Rhinolophus ferrumequinum",49.582207,5.335882,2025-06-28,"gbif"
"Rhinolophus ferrumequinum",43.37323,3.273822,2025-07-06,"gbif"
"Rhinolophus ferrumequinum",43.839836,3.656365,2025-07-03,"gbif"
"Rhinolophus ferrumequinum",43.946958,3.746871,2025-07-03,"gbif"
"Rhinolophus ferrumequinum",44.288881,3.265486,2025-07-21,"gbif"
"Rhinolophus ferrumequinum",43.86865,4.596408,2025-07-15,"gbif"
"Rhinolophus ferrumequinum",43.845892,4.546223,2025-07-15,"gbif"
"Rhinolophus ferrumequinum",43.860897,3.428088,2025-07-15,"gbif"
"Rhinolophus ferrumequinum",47.265621,0.124063,2025-07-03,"gbif"
"Rhinolophus ferrumequinum",47.44243,4.440142,2025-07-06,"gbif"
"Rhinolophus ferrumequinum",47.206048,0.072314,2025-07-02,"gbif"
"Rhinolophus ferrumequinum",44.0338,4.1367,2025-07-25,"gbif"
"Rhinolophus ferrumequinum",48.758444,5.723572,2025-07-12,"gbif"
"Rhinolophus ferrumequinum",46.830868,6.063168,2025-08-18,"gbif"
"Rhinolophus ferrumequinum",43.523505,2.86819,2025-08-20,"gbif"
"Rhinolophus ferrumequinum",42.948475,0.28161,2025-08-26,"gbif"
"Rhinolophus ferrumequinum",44.238678,2.006023,2025-08-09,"gbif"
"Rhinolophus ferrumequinum",47.401937,-1.585715,2025-08-23,"gbif"
"Rhinolophus ferrumequinum",44.705189,1.968672,2025-08-14,"gbif"
"Rhinolophus ferrumequinum",44.250488,5.379091,2025-08-13,"gbif"
"Rhinolophus ferrumequinum",47.401937,-1.585715,2025-08-24,"gbif"
"Rhinolophus ferrumequinum",44.934038,0.728862,2025-09-07,"gbif"
"Rhinolophus ferrumequinum",43.730705,3.468934,2025-10-30,"gbif"
"Rhinolophus ferrumequinum",46.365551,5.450463,2025-10-18,"gbif"
"Rhinolophus ferrumequinum",43.88,2.88,2025-10-03,"gbif"
"Rhinolophus ferrumequinum",49.596389,3.412562,2025-10-19,"gbif"
"Rhinolophus ferrumequinum",44.37374,4.03538,2025-11-11,"gbif"
"Rhinolophus ferrumequinum",47.426094,4.950883,2025-12-26,"gbif"
"Rhinolophus ferrumequinum",47.460761,4.916511,2025-12-26,"gbif"
"Rhinolophus ferrumequinum",47.507619,4.834801,2025-12-26,"gbif"
"Rhinolophus ferrumequinum",45.686132,6.080418,2025-12-27,"gbif"
"Rhinolophus ferrumequinum",44.510934,2.750051,2025-12-13,"gbif"
"Rhinolophus ferrumequinum",46.543723,-0.600443,2025-12-27,"gbif"
"Rhinolophus ferrumequinum",46.56359,-0.686444,2025-12-27,"gbif"
"Rhinolophus ferrumequinum",43.301173,5.836532,2025-12-06,"gbif"
"Rhinolophus ferrumequinum",46.769166,0.480063,2024-01-07,"gbif"
"Rhinolophus ferrumequinum",43.346308,-0.216363,2024-01-21,"gbif"
"Rhinolophus ferrumequinum",47.149571,-1.076978,2024-01-20,"gbif"
"Rhinolophus ferrumequinum",43.352538,-0.69607,2024-01-20,"gbif"
"Rhinolophus ferrumequinum",43.469724,2.660352,2024-01-20,"gbif"
"Rhinolophus ferrumequinum",46.646738,0.317546,2024-01-25,"gbif"
"Rhinolophus ferrumequinum",43.764325,5.831669,2024-01-27,"gbif"
"Rhinolophus ferrumequinum",43.401791,3.126626,2024-02-03,"gbif"
"Rhinolophus ferrumequinum",43.603199,0.564712,2024-02-10,"gbif"
"Rhinolophus ferrumequinum",43.73314,0.416167,2024-02-10,"gbif"
"Rhinolophus ferrumequinum",43.244902,2.820594,2024-02-22,"gbif"
"Rhinolophus ferrumequinum",43.36386,2.814658,2024-02-22,"gbif"
"Rhinolophus ferrumequinum",43.362884,2.79838,2024-02-22,"gbif"
"Rhinolophus ferrumequinum",43.78203,3.072618,2024-02-10,"gbif"
"Rhinolophus ferrumequinum",43.619574,0.380787,2024-03-08,"gbif"
"Rhinolophus ferrumequinum",47.318046,4.875493,2024-03-23,"gbif"
"Rhinolophus ferrumequinum",47.413787,0.522488,2024-03-04,"gbif"
"Rhinolophus ferrumequinum",47.413787,0.522488,2024-03-04,"gbif"
"Rhinolophus ferrumequinum",44.213432,4.424238,2024-04-18,"gbif"
"Rhinolophus ferrumequinum",43.846546,3.873098,2024-04-02,"gbif"
"Rhinolophus ferrumequinum",46.965269,6.011976,2024-04-30,"gbif"
"Rhinolophus ferrumequinum",46.892691,3.721597,2024-04-05,"gbif"
"Rhinolophus ferrumequinum",49.586979,5.278708,2024-04-27,"gbif"
"Rhinolophus ferrumequinum",46.511776,1.535002,2024-05-08,"gbif"
"Rhinolophus ferrumequinum",46.594108,-0.224211,2024-05-25,"gbif"
"Rhinolophus ferrumequinum",43.971267,7.539863,2024-05-30,"gbif"
"Rhinolophus ferrumequinum",43.977823,7.467487,2024-05-30,"gbif"
"Rhinolophus ferrumequinum",44.352799,3.957884,2024-05-27,"gbif"
"Rhinolophus ferrumequinum",43.920722,3.865201,2024-05-05,"gbif"
"Rhinolophus ferrumequinum",43.737727,7.2749,2024-05-14,"gbif"
"Rhinolophus ferrumequinum",46.762481,0.85475,2024-05-04,"gbif"
"Rhinolophus ferrumequinum",44.118654,7.524356,2024-05-21,"gbif"
"Rhinolophus ferrumequinum",48.960294,-0.208374,2024-07-29,"gbif"
"Rhinolophus ferrumequinum",44.876584,1.054962,2024-07-19,"gbif"
"Rhinolophus ferrumequinum",43.973446,3.742099,2024-08-30,"gbif"
"Rhinolophus ferrumequinum",43.353389,3.356837,2024-08-08,"gbif"
"Rhinolophus ferrumequinum",46.675718,0.347189,2024-09-30,"gbif"
"Rhinolophus ferrumequinum",46.771889,0.215991,2024-10-27,"gbif"
"Rhinolophus ferrumequinum",46.74891,0.310572,2024-10-27,"gbif"
"Rhinolophus ferrumequinum",46.630544,0.311883,2024-10-27,"gbif"
"Rhinolophus ferrumequinum",46.674578,0.849229,2024-10-26,"gbif"
"Rhinolophus ferrumequinum",47.287261,4.84001,2024-10-04,"gbif"
"Rhinolophus ferrumequinum",47.377686,3.784421,2024-10-28,"gbif"
"Rhinolophus ferrumequinum",47.331657,6.310842,2024-10-31,"gbif"
"Rhinolophus ferrumequinum",43.359277,5.668128,2024-11-01,"gbif"
"Rhinolophus ferrumequinum",46.708872,0.326294,2024-11-10,"gbif"
"Rhinolophus ferrumequinum",44.015575,3.888171,2024-11-16,"gbif"
"Rhinolophus ferrumequinum",43.629992,3.11569,2024-11-16,"gbif"
"Rhinolophus ferrumequinum",43.739091,3.173794,2024-11-16,"gbif"
"Rhinolophus ferrumequinum",46.704845,0.227022,2024-11-29,"gbif"
"Rhinolophus ferrumequinum",46.508131,0.398094,2024-11-27,"gbif"
"Rhinolophus ferrumequinum",47.570262,6.176425,2024-11-02,"gbif"
"Rhinolophus ferrumequinum",47.769081,-3.558725,2024-11-12,"gbif"
"Rhinolophus ferrumequinum",45.783406,6.19908,2024-11-19,"gbif"
"Rhinolophus ferrumequinum",45.05078,1.521123,2024-12-24,"gbif"
"Rhinolophus ferrumequinum",45.027811,1.786618,2024-12-23,"gbif"
"Rhinolophus ferrumequinum",46.730782,0.306901,2024-12-29,"gbif"
"Rhinolophus ferrumequinum",44.171142,1.658774,2024-12-28,"gbif"
"Rhinolophus ferrumequinum",48.015376,-2.896338,2024-12-03,"gbif"
"Rhinolophus ferrumequinum",47.110221,-1.073037,2023-01-21,"gbif"
"Rhinolophus ferrumequinum",43.736039,6.240897,2023-01-15,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-01-31,"gbif"
